Game_Number,Location,Outcome,TM,FG,TRB,AST,STL,BLK,TOV
1,Home,L,92,0.407,52,21,8,7,19
2,Away,W,132,0.516,42,22,8,3,18
3,Home,L,112,0.489,38,27,7,6,17
4,Home,W,102,0.446,53,27,9,5,21
5,Home,L,92,0.456,49,20,7,6,21
6,Away,L,81,0.383,39,17,12,4,16
7,Home,W,113,0.495,53,30,9,5,14
8,Away,L,110,0.544,32,16,8,8,11
9,Home,W,124,0.511,57,26,10,7,16
10,Home,W,107,0.471,46,25,5,4,16
11,Away,L,96,0.435,48,16,8,8,20
12,Away,L,95,0.36,46,17,9,4,19
13,Away,L,90,0.419,48,21,7,9,21
14,Away,W,100,0.424,53,17,6,6,16
15,Home,L,109,0.385,57,18,7,6,9
16,Home,L,113,0.495,49,26,7,10,19
17,Home,W,127,0.53,46,36,11,5,15
18,Home,W,103,0.4,53,23,7,6,12
19,Away,L,102,0.5,32,27,8,4,17
20,Away,L,115,0.484,43,23,10,5,16
21,Home,L,123,0.495,34,30,12,5,17
22,Away,L,100,0.442,52,21,5,2,21
23,Home,L,95,0.381,45,16,9,6,20
24,Away,W,107,0.438,44,22,13,7,11
25,Away,W,110,0.506,46,24,7,5,14
26,Away,L,109,0.412,52,24,6,6,16
27,Away,L,112,0.495,49,33,7,3,18
28,Home,L,114,0.446,45,23,9,9,12
29,Away,W,122,0.471,47,27,8,5,10
30,Away,L,106,0.426,46,22,11,5,15
31,Home,L,92,0.424,55,23,8,3,17
32,Home,L,104,0.435,37,21,10,1,12
33,Home,L,99,0.376,49,14,5,4,11
34,Home,L,106,0.489,35,25,7,3,12
35,Away,L,142,0.505,54,31,6,4,14
36,Away,L,96,0.447,37,18,12,4,24
37,Home,L,96,0.413,45,24,5,4,17
38,Home,L,94,0.404,46,24,7,3,16
39,Home,W,132,0.558,49,32,13,6,18
40,Home,W,99,0.481,55,30,12,4,25
41,Home,W,93,0.414,47,22,15,4,15
42,Away,W,107,0.453,59,24,4,0,14
43,Away,L,114,0.396,44,25,11,8,13
44,Away,L,90,0.469,30,25,9,1,16
45,Home,W,99,0.55,47,26,7,6,14
46,Home,W,127,0.56,39,31,10,3,6
47,Home,W,108,0.44,51,18,6,2,10
48,Away,W,108,0.451,48,23,6,3,9
49,Away,L,111,0.44,44,22,9,4,14
50,Away,L,105,0.47,43,18,7,1,16
51,Away,W,102,0.424,56,21,5,6,15
52,Away,W,108,0.488,40,24,6,7,19
53,Home,W,112,0.47,56,19,7,7,14
54,Home,W,106,0.438,51,28,5,7,8
55,Away,L,123,0.548,37,29,7,0,17
56,Away,L,117,0.511,37,26,5,3,20
57,Away,L,111,0.457,46,19,6,4,13
58,Home,W,124,0.516,62,32,8,6,16
59,Away,W,113,0.451,44,26,5,6,10
60,Away,W,123,0.522,59,28,8,6,23
61,Away,W,131,0.595,36,29,9,5,13
62,Away,W,116,0.435,46,26,10,4,15
63,Home,L,103,0.391,47,20,9,7,10
64,Home,W,108,0.489,39,27,7,3,14
65,Away,L,116,0.489,44,25,8,6,15
66,Home,W,127,0.5,51,30,9,4,13
67,Home,W,112,0.444,52,20,6,3,15
68,Away,L,106,0.452,35,24,11,8,14
69,Home,L,91,0.421,49,22,5,4,20
70,Away,L,100,0.442,47,20,4,3,13
71,Away,L,125,0.494,40,19,4,3,16
72,Away,W,100,0.407,44,19,7,2,11
73,Away,L,106,0.471,47,29,3,7,10
74,Home,W,103,0.468,49,25,6,5,15
75,Home,L,122,0.511,56,33,5,3,18
76,Home,L,83,0.4,47,18,5,6,14
77,Away,L,110,0.486,39,23,7,5,16
78,Home,W,122,0.547,44,32,4,3,13
79,Home,L,96,0.392,53,16,3,2,20
80,Home,L,97,0.398,44,20,8,4,12
81,Home,L,99,0.422,47,22,14,4,17
82,Away,W,115,0.477,49,25,8,6,17
